subject,condition,block,error_type,error
0,no_label,1,label,0.704850313154
0,no_label,1,salient,2.66573153619
0,no_label,1,non_salient,2.50417395692
0,no_label,50,label,0.172530878158
0,no_label,50,salient,1.15253205203
0,no_label,50,non_salient,1.25294001457
0,no_label,100,label,0.0640809914338
0,no_label,100,salient,0.929907692206
0,no_label,100,non_salient,0.912885102692
0,no_label,150,label,0.0427847113428
0,no_label,150,salient,0.910306129607
0,no_label,150,non_salient,0.885407790696
0,no_label,200,label,0.0501119291057
0,no_label,200,salient,0.892735848401
0,no_label,200,non_salient,0.86491892515
0,no_label,250,label,0.0580622760166
0,no_label,250,salient,0.870520064541
0,no_label,250,non_salient,0.840167977401
0,no_label,300,label,0.0637905104124
0,no_label,300,salient,0.843270514993
0,no_label,300,non_salient,0.811348506404
0,no_label,350,label,0.0669871616973
0,no_label,350,salient,0.812442606864
0,no_label,350,non_salient,0.780324621635
0,no_label,400,label,0.0677784501518
0,no_label,400,salient,0.780354539014
0,no_label,400,non_salient,0.749711878887
0,no_label,450,label,0.0666299815539
0,no_label,450,salient,0.749068048966
0,no_label,450,non_salient,0.721810622617
0,no_label,500,label,0.0641537874425
0,no_label,500,salient,0.719740426289
0,no_label,500,non_salient,0.69790556957
0,no_label,550,label,0.0608883639431
0,no_label,550,salient,0.692763230922
0,no_label,550,non_salient,0.678104025962
0,no_label,600,label,0.0572441754774
0,no_label,600,salient,0.668248389081
0,no_label,600,non_salient,0.661523690177
0,no_label,650,label,0.05352068823
0,no_label,650,salient,0.64629291964
0,no_label,650,non_salient,0.646859869935
0,no_label,700,label,0.0499382822814
0,no_label,700,salient,0.626855197295
0,no_label,700,non_salient,0.633168133601
0,no_label,750,label,0.0466548271531
0,no_label,750,salient,0.609675884166
0,no_label,750,non_salient,0.620130628686
0,no_label,800,label,0.0437533192283
0,no_label,800,salient,0.594475477877
0,no_label,800,non_salient,0.607801976647
0,no_label,850,label,0.0412411089092
0,no_label,850,salient,0.581133028573
0,no_label,850,non_salient,0.596351230563
0,no_label,900,label,0.0390750568882
0,no_label,900,salient,0.569644660298
0,no_label,900,non_salient,0.585945450296
0,no_label,950,label,0.0371924988132
0,no_label,950,salient,0.559962631374
0,no_label,950,non_salient,0.576694810687
0,no_label,1000,label,0.035533895353
0,no_label,1000,salient,0.551910884688
0,no_label,1000,non_salient,0.568616629675
0,no_label,1050,label,0.0340494408556
0,no_label,1050,salient,0.54523410116
0,no_label,1050,non_salient,0.561639616908
0,no_label,1100,label,0.0326939310513
0,no_label,1100,salient,0.53967985186
0,no_label,1100,non_salient,0.555645270106
0,no_label,1150,label,0.0314248840217
0,no_label,1150,salient,0.535037385702
0,no_label,1150,non_salient,0.550505352222
0,no_label,1200,label,0.030207295891
0,no_label,1200,salient,0.531140399685
0,no_label,1200,non_salient,0.546095270915
0,no_label,1250,label,0.029017153475
0,no_label,1250,salient,0.527860677102
0,no_label,1250,non_salient,0.542295609171
0,no_label,1300,label,0.0278407876486
0,no_label,1300,salient,0.525101416387
0,no_label,1300,non_salient,0.538995232839
0,no_label,1350,label,0.0266722911921
0,no_label,1350,salient,0.522789479574
0,no_label,1350,non_salient,0.536096490475
0,no_label,1400,label,0.025510895324
0,no_label,1400,salient,0.520867494108
0,no_label,1400,non_salient,0.533518521358
0,no_label,1450,label,0.0243589177879
0,no_label,1450,salient,0.519287848541
0,no_label,1450,non_salient,0.531197302736
0,no_label,1500,label,0.0232203121721
0,no_label,1500,salient,0.518009164143
0,no_label,1500,non_salient,0.529083475378
0,no_label,1550,label,0.0220996937084
0,no_label,1550,salient,0.516994584804
0,no_label,1550,non_salient,0.527139395018
0,no_label,1600,label,0.0210017105354
0,no_label,1600,salient,0.516211031658
0,no_label,1600,non_salient,0.525336333446
0,no_label,1650,label,0.0199306588217
0,no_label,1650,salient,0.515628851495
0,no_label,1650,non_salient,0.523652194532
0,no_label,1700,label,0.018890268686
0,no_label,1700,salient,0.515221579829
0,no_label,1700,non_salient,0.522069785007
0,no_label,1750,label,0.0178836082606
0,no_label,1750,salient,0.514965713697
0,no_label,1750,non_salient,0.520575551379
0,no_label,1800,label,0.0169130671195
0,no_label,1800,salient,0.514840469067
0,no_label,1800,non_salient,0.519158669942
0,no_label,1850,label,0.0159803899111
0,no_label,1850,salient,0.514827527054
0,no_label,1850,non_salient,0.517810391804
0,no_label,1900,label,0.0150867372161
0,no_label,1900,salient,0.514910780226
0,no_label,1900,non_salient,0.516523568232
0,no_label,1950,label,0.0142327529523
0,no_label,1950,salient,0.515076089281
0,no_label,1950,non_salient,0.515292302507
0,no_label,2000,label,0.0134186172555
0,no_label,2000,salient,0.515311057037
0,no_label,2000,non_salient,0.514111690512
0,no_label,2050,label,0.0126440712577
0,no_label,2050,salient,0.515604823346
0,no_label,2050,non_salient,0.512977623836
0,no_label,2100,label,0.0119084338978
0,no_label,2100,salient,0.515947881962
0,no_label,2100,non_salient,0.51188663744
0,no_label,2150,label,0.011210666697
0,no_label,2150,salient,0.516331918653
0,no_label,2150,non_salient,0.510835789563
0,no_label,2200,label,0.010549502048
0,no_label,2200,salient,0.516749668881
0,no_label,2200,non_salient,0.509822565533
